G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,West Virginia,L,53,60
2,2021-11-12,Oklahoma State,W,56,55
3,2021-11-17,Toledo,W,80,59
4,2021-11-19,Alabama,L,59,86
5,2021-11-22,Vermont,W,63,61
6,2021-11-23,Rice,W,76,73
7,2021-11-24,Delaware,W,81,73
8,2021-12-02,UIC,W,81,77
9,2021-12-04,IU Indianapolis,W,78,45
10,2021-12-07,Bowling Green State,L,72,73
11,2021-12-21,Michigan State,L,78,90
12,2021-12-30,Robert Morris,W,79,61
13,2022-01-01,Youngstown State,W,87,72
14,2022-01-07,Ohio Christian,W,108,40
15,2022-01-09,Milwaukee,W,86,65
16,2022-01-13,Cleveland State,W,70,65
17,2022-01-15,Purdue Fort Wayne,W,76,68
18,2022-01-20,Milwaukee,L,78,88
19,2022-01-22,Green Bay,W,68,61
20,2022-01-24,Michigan-Dearborn,W,104,61
21,2022-01-29,UIC,W,81,74
22,2022-02-04,Northern Kentucky,L,78,87
23,2022-02-05,Wright State,L,64,75
24,2022-02-09,Youngstown State,L,71,78
25,2022-02-11,Robert Morris,W,71,68
26,2022-02-13,Detroit Mercy,W,75,59
27,2022-02-18,Wright State,L,74,78
28,2022-02-20,Northern Kentucky,L,66,71
29,2022-02-24,Purdue Fort Wayne,L,70,81
30,2022-02-26,Cleveland State,W,65,57
31,2022-03-01,IU Indianapolis,W,70,58
32,2022-03-03,Wright State,L,63,75
