G,Date,Opponent,W/L,Tm,Opp_Score
1,11/7/2022,UTEP,W,72,57
2,11/10/2022,Houston Christian,W,82,31
3,11/16/2022,Gonzaga,W,93,74
4,11/21/2022,Northern Arizona,W,73,48
5,11/26/2022,Texas-Rio Grande Valley,W,91,54
6,12/1/2022,Creighton,W,72,67
7,12/6/2022,Illinois,L,78,85
8,12/10/2022,Arkansas-Pine Bluff,W,88,43
9,12/12/2022,Rice,W,87,81
10,12/18/2022,Stanford,W,72,62
11,12/21/2022,Louisiana,W,100,72
12,12/27/2022,East Texas A&M,W,97,72
13,12/31/2022,Oklahoma,W,70,69
14,1/3/2023,Kansas State,L,103,116
15,1/7/2023,Oklahoma State,W,56,46
16,1/11/2023,TCU,W,79,75
17,1/14/2023,Texas Tech,W,72,70
18,1/17/2023,Iowa State,L,67,78
19,1/21/2023,West Virginia,W,69,61
20,1/24/2023,Oklahoma State,W,89,75
21,1/28/2023,Tennessee,L,71,82
22,1/30/2023,Baylor,W,76,71
23,2/4/2023,Kansas State,W,69,66
24,2/6/2023,Kansas,L,80,88
25,2/11/2023,West Virginia,W,94,60
26,2/13/2023,Texas Tech,L,67,74
27,2/18/2023,Oklahoma,W,85,83
28,2/21/2023,Iowa State,W,72,54
29,2/25/2023,Baylor,L,72,81
30,3/1/2023,TCU,L,73,75
31,3/4/2023,Kansas,W,75,59
32,3/9/2023,Oklahoma State,W,61,47
33,3/10/2023,TCU,W,66,60
34,3/11/2023,Kansas,W,76,56
35,3/16/2023,Colgate,W,81,61
36,3/18/2023,Penn State,W,71,66
37,3/24/2023,Xavier,W,83,71
38,3/26/2023,Miami (FL),L,81,88
