G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Sarah Lawrence,W,96,41
2,11/11/2022,Eastern Washington,W,74,60
3,11/13/2022,Mississippi Valley State,W,80,51
4,11/15/2022,Hawaii,W,62,59
5,11/20/2022,John Jay,W,112,55
6,11/22/2022,Vermont,W,73,44
7,11/27/2022,Colorado,L,62,65
8,11/30/2022,Howard,W,86,40
9,12/3/2022,Stony Brook,W,77,72
10,12/6/2022,Butler,L,61,71
11,12/10/2022,Kentucky,L,59,69
12,12/12/2022,Fairfield,W,77,64
13,12/22/2022,Monmouth,W,76,44
14,12/31/2022,Columbia,L,60,62
15,1/6/2023,Dartmouth,L,77,81
16,1/7/2023,Harvard,W,58,54
17,1/13/2023,Cornell,L,82,94
18,1/16/2023,Brown,W,81,78
19,1/21/2023,Penn,W,70,63
20,1/28/2023,Princeton,W,87,65
21,2/3/2023,Harvard,W,68,57
22,2/4/2023,Dartmouth,W,72,53
23,2/11/2023,Columbia,W,99,68
24,2/17/2023,Penn,L,64,66
25,2/18/2023,Princeton,W,93,83
26,2/25/2023,Cornell,W,76,58
27,3/4/2023,Brown,W,84,75
28,3/11/2023,Cornell,W,80,60
29,3/12/2023,Princeton,L,65,74
30,3/14/2023,Vanderbilt,L,62,71
